zip,lat,lng
07205,40.695889,-74.2288
07206,40.652083,-74.183756
07208,40.672913,-74.224047
07302,40.718808,-74.044634
07304,40.717303,-74.076352
07305,40.693004,-74.06965
07306,40.736294,-74.071128
07307,40.751842,-74.053976
07310,40.727895,-74.033212
07311,40.719076,-74.032619
07401,41.032669,-74.133826
07403,41.020753,-74.332842
07405,40.987841,-74.378188
07407,40.904526,-74.119514
07410,40.93583,-74.117505
07416,41.108997,-74.588641
07417,41.007526,-74.205653
07418,41.242216,-74.486108
07419,41.154156,-74.57001
07420,41.029333,-74.302841
07421,41.17374,-74.352613
07422,41.173751,-74.446963
07423,40.9995,-74.096583
07424,40.882319,-74.205876
07430,41.082067,-74.183061
07432,40.995809,-74.141262
07435,41.040778,-74.44191
07436,41.031022,-74.240502
07438,41.029821,-74.521772
07439,41.08009,-74.597626
07440,40.946468,-74.29304
07442,41.002734,-74.286742
07444,40.967407,-74.306967
07446,41.059136,-74.145931
07450,40.981591,-74.113506
07452,40.959471,-74.125202
07456,41.097039,-74.262921
07457,40.995886,-74.314532
07458,41.046658,-74.096482
07460,41.114264,-74.493844
07461,41.247022,-74.610522
07462,41.198457,-74.495575
07463,41.013367,-74.125217
07465,41.04927,-74.292337
07470,40.945855,-74.245077
07480,41.08587,-74.37839
07481,40.999093,-74.168849
07501,40.911998,-74.170965
07502,40.919659,-74.195028
07503,40.897548,-74.154121
07504,40.912433,-74.140689
07505,40.917008,-74.171936
07506,40.956957,-74.158561
07508,40.955021,-74.183692
07512,40.903415,-74.219779
07513,40.904592,-74.148966
07514,40.924786,-74.144542
07522,40.923569,-74.179225
07524,40.931711,-74.15687
07601,40.889398,-74.045698
07603,40.874293,-74.029737
07604,40.861513,-74.073114
07605,40.863391,-73.988466
07606,40.864801,-74.048115
07607,40.902885,-74.063457
07608,40.849609,-74.061893
07620,40.968782,-73.916896
07621,40.922334,-73.998001
07624,40.97289,-73.960315
07626,40.940018,-73.958313
07627,40.954103,-73.954921
07628,40.945239,-73.992428
07630,40.97499,-74.023248
07631,40.891197,-73.972515
07632,40.884634,-73.944654
07640,40.991681,-73.980202
07641,40.962737,-73.99747
07642,41.007127,-74.045119
07643,40.843431,-74.034239
07644,40.877915,-74.0825
07645,41.054594,-74.047298
07646,40.934161,-74.019453
07647,41.009421,-73.941984
07648,40.992046,-73.950551
07649,40.956653,-74.032862
07650,40.847017,-73.997061
07652,40.947299,-74.070169
07656,41.036183,-74.044293
07657,40.832677,-74.014088
07660,40.854705,-74.019926
07661,40.927354,-74.039611
07662,40.906496,-74.078005
07663,40.903099,-74.093591
07666,40.890317,-74.011478
07670,40.918309,-73.950523
07675,41.003484,-74.001753
07676,40.988306,-74.064693
07677,41.025977,-74.061061
07701,40.360509,-74.078952
07702,40.32645,-74.057373
07703,40.314341,-74.046746
07704,40.36194,-74.038775
07711,40.237603,-74.006722
07712,40.246895,-74.054502
07716,40.402402,-74.036306
07717,40.191418,-74.015105
07718,40.419871,-74.085174
07719,40.168908,-74.073226
07720,40.201604,-74.012056
07721,40.435334,-74.235966
07722,40.287799,-74.166807
07723,40.250486,-74.002164
07724,40.298625,-74.074178
07726,40.286506,-74.342547
07727,40.205491,-74.157535
07728,40.225793,-74.285785
07730,40.424164,-74.173732
07731,40.149537,-74.203987
07732,40.430451,-73.990424
07733,40.374964,-74.173849
07734,40.444152,-74.136812
07735,40.450022,-74.2235
07737,40.406738,-74.063828
07738,40.335361,-74.132723
07739,40.336952,-74.034535
07740,40.295372,-73.989899
07746,40.32349,-74.254572
07747,40.41325,-74.257674
07748,40.3963,-74.115274
07750,40.335895,-73.985608
07751,40.35965,-74.261462
07753,40.210761,-74.074499
07755,40.26347,-74.023623
07756,40.21182,-74.006944
07757,40.315996,-74.017637
07758,40.434236,-74.100665
07760,40.371452,-74.003922
07762,40.153409,-74.033732
07764,40.287904,-74.020019
07801,40.901125,-74.564783
07803,40.878088,-74.601176
07820,40.928674,-74.798862
07821,40.966037,-74.754687
07822,41.138775,-74.708337
07823,40.823262,-75.046014
07825,40.982962,-74.961996
07826,41.163459,-74.815409
07827,41.280958,-74.730511
07828,40.884959,-74.755657
07830,40.719283,-74.794021
07831,40.739211,-74.946813
07832,40.944578,-75.067346
07833,40.892819,-75.069436
07834,40.88646,-74.487584
07836,40.843893,-74.709761
07838,40.88795,-74.911692
07840,40.860045,-74.831795
07842,40.944622,-74.500876
07843,40.939227,-74.659506
07844,40.908616,-74.969576
07846,40.966823,-74.876834
07847,40.887434,-74.619738
07848,41.097903,-74.680163
07849,40.964142,-74.612574
07850,40.906766,-74.659352
07851,41.200384,-74.856406
07852,40.883268,-74.668029
07853,40.787399,-74.78213
07856,40.916422,-74.626763
07857,40.897942,-74.693366
07860,41.057287,-74.802737
07863,40.807571,-74.957451
07865,40.793806,-74.898347
07866,40.954989,-74.488006
07869,40.84164,-74.578522
07870,40.804243,-74.820672
07871,41.046696,-74.627989
07874,40.928908,-74.709458
07876,40.85447,-74.657357
07878,40.871598,-74.47824
07880,40.880001,-74.876253
07881,41.123325,-74.934412
07882,40.75543,-75.01087
07885,40.910409,-74.599964
07901,40.714923,-74.366372
07920,40.682268,-74.554143
07921,40.656019,-74.678657
07922,40.67659,-74.427022
07924,40.72577,-74.591213
07926,40.801262,-74.570122
07927,40.823725,-74.456354
07928,40.724971,-74.415086
07930,40.781309,-74.68359
07931,40.681417,-74.616536
07932,40.777461,-74.392845
07933,40.695179,-74.456871
07934,40.729737,-74.666509
07935,40.735441,-74.451312
07936,40.818553,-74.363742
07939,40.667279,-74.552164
07940,40.760535,-74.41948
07945,40.780656,-74.601816
07946,40.677709,-74.508538
07950,40.846026,-74.482314
07960,40.779235,-74.502462
07961,40.781113,-74.435151
07970,40.809387,-74.571554
07974,40.696919,-74.403853
07976,40.72806,-74.479344
07977,40.711342,-74.651625
07979,40.711205,-74.730643
07980,40.676166,-74.494548
07981,40.824413,-74.426241
08001,39.54788,-75.346384
08002,39.934605,-75.025389
08003,39.885852,-74.971145
08004,39.755333,-74.830512
08005,39.755802,-74.306609
08006,39.751289,-74.10676
08007,39.865083,-75.053762
08008,39.623538,-74.206089
08009,39.760656,-74.93286
08010,40.053506,-74.918438
08011,39.975279,-74.713802
08012,39.783815,-75.056068
08014,39.812923,-75.36731
08015,39.931536,-74.54372
08016,40.068064,-74.832904
08019,39.765587,-74.530053
08020,39.794221,-75.222232
08021,39.806156,-75.000012
08022,40.06759,-74.705741
08023,39.688108,-75.496899
08026,39.833646,-74.969001
08027,39.828521,-75.294384
08028,39.692129,-75.124675
08029,39.840937,-75.067211
08030,39.889564,-75.118494
08031,39.866356,-75.09467
08032,39.780545,-75.059612
08033,39.892421,-75.036651
08034,39.9061,-75.000375
08035,39.879127,-75.065918
08036,39.977956,-74.836334
08037,39.631681,-74.773893
08038,39.470004,-75.490291
08039,39.685659,-75.277309
08041,40.038525,-74.684101
08042,40.013657,-74.662029
08043,39.84857,-74.952843
08045,39.867211,-75.029156
08046,40.02795,-74.886984
08048,39.95385,-74.803026
08049,39.854575,-75.038137
08050,39.712132,-74.231888
08051,39.784025,-75.175979
08052,39.952381,-74.994896
08053,39.856677,-74.90081
08054,39.948992,-74.900247
08055,39.862695,-74.822311
08056,39.783683,-75.255302
08057,39.979658,-74.941308
08059,39.884825,-75.092667
08060,40.010005,-74.792207
08061,39.79887,-75.205365
08062,39.716095,-75.219267
08063,39.867297,-75.185621
08064,39.93735,-74.616269
08065,40.002615,-75.035273
08066,39.835173,-75.233532
08067,39.739193,-75.411406
08068,39.961394,-74.665922
08069,39.703142,-75.450676
08070,39.619125,-75.516069
08071,39.731654,-75.134257
08072,39.544683,-75.412568
08073,40.009508,-74.866845
08074,39.716166,-75.16344
08075,40.029676,-74.948997
08077,40.000162,-74.991632
08078,39.853411,-75.075502
08079,39.542408,-75.431684
08080,39.757353,-75.122043
08081,39.732942,-74.976657
08083,39.841307,-75.028613
08084,39.82899,-75.015536
08085,39.753766,-75.33104
08086,39.851212,-75.185663
08087,39.603959,-74.382181
08088,39.837315,-74.695267
08089,39.713093,-74.831034
08090,39.797986,-75.148526
08091,39.807116,-74.924178
08092,39.647182,-74.284599
08093,39.861571,-75.132975
